case_id,split
BDMAP_00000265,train
BDMAP_00000266,train
BDMAP_00000267,train
BDMAP_00000268,train
BDMAP_00000269,train
BDMAP_00000270,train
BDMAP_00000271,train
BDMAP_00000272,train
BDMAP_00000275,train
BDMAP_00000276,train
BDMAP_00000277,train
BDMAP_00000279,train
BDMAP_00000280,train
BDMAP_00000281,train
BDMAP_00000282,train
BDMAP_00000283,train
BDMAP_00000284,train
BDMAP_00000285,train
BDMAP_00000286,train
BDMAP_00000288,train
BDMAP_00000289,train
BDMAP_00000290,train
BDMAP_00000291,train
BDMAP_00000292,train
BDMAP_00000293,train
BDMAP_00000294,train
BDMAP_00000295,train
BDMAP_00000296,train
BDMAP_00000297,train
BDMAP_00000298,train
BDMAP_00000299,train
BDMAP_00000300,train
BDMAP_00000301,train
BDMAP_00000302,train
BDMAP_00000303,train
BDMAP_00000304,train
BDMAP_00000306,train
BDMAP_00000307,train
BDMAP_00000309,train
BDMAP_00000311,train
BDMAP_00000312,train
BDMAP_00000313,train
BDMAP_00000314,train
BDMAP_00000315,train
BDMAP_00000316,train
BDMAP_00000317,train
BDMAP_00000318,train
BDMAP_00000319,train
BDMAP_00000320,train
BDMAP_00000321,train
BDMAP_00000322,train
BDMAP_00000323,train
BDMAP_00000324,train
BDMAP_00000325,train
BDMAP_00000327,train
BDMAP_00000328,train
BDMAP_00000329,train
BDMAP_00000331,train
BDMAP_00000332,train
BDMAP_00000334,train
BDMAP_00000335,train
BDMAP_00000336,train
BDMAP_00000337,train
BDMAP_00000338,train
BDMAP_00000339,train
BDMAP_00000340,train
BDMAP_00000341,train
BDMAP_00000342,train
BDMAP_00000344,train
BDMAP_00000345,train
BDMAP_00000346,train
BDMAP_00000347,train
BDMAP_00000348,train
BDMAP_00000349,train
BDMAP_00000350,train
BDMAP_00000351,train
BDMAP_00000352,train
BDMAP_00000353,train
BDMAP_00000354,train
BDMAP_00000355,train
BDMAP_00000356,train
BDMAP_00000357,train
BDMAP_00000358,train
BDMAP_00000359,train
BDMAP_00000360,train
BDMAP_00000361,train
BDMAP_00000362,train
BDMAP_00000363,train
BDMAP_00000364,train
BDMAP_00000365,train
BDMAP_00000366,train
BDMAP_00000367,train
BDMAP_00000369,train
BDMAP_00000370,train
BDMAP_00000371,train
BDMAP_00000372,train
BDMAP_00000373,train
BDMAP_00000375,train
BDMAP_00000376,train
BDMAP_00000377,train
BDMAP_00000378,train
BDMAP_00000379,train
BDMAP_00000381,train
BDMAP_00000382,train
BDMAP_00000383,train
BDMAP_00000384,train
BDMAP_00000385,train
BDMAP_00000386,train
BDMAP_00000387,train
BDMAP_00000388,train
BDMAP_00000390,train
BDMAP_00000392,train
BDMAP_00000394,train
BDMAP_00000395,train
BDMAP_00000396,train
BDMAP_00000397,train
BDMAP_00000398,train
BDMAP_00000399,train
BDMAP_00000400,train
BDMAP_00000401,train
BDMAP_00000402,train
BDMAP_00000403,train
BDMAP_00000404,train
BDMAP_00000405,train
BDMAP_00000406,train
BDMAP_00000407,train
BDMAP_00000408,train
BDMAP_00000409,train
BDMAP_00000410,train
BDMAP_00000411,train
BDMAP_00000413,train
BDMAP_00000414,train
BDMAP_00000415,train
BDMAP_00000416,train
BDMAP_00000417,train
BDMAP_00000418,train
BDMAP_00000419,train
BDMAP_00000420,train
BDMAP_00000421,train
BDMAP_00000422,train
BDMAP_00000423,train
BDMAP_00000424,train
BDMAP_00000425,train
BDMAP_00000426,train
BDMAP_00000427,train
BDMAP_00000428,train
BDMAP_00000429,train
BDMAP_00000430,train
BDMAP_00000431,train
BDMAP_00000432,train
BDMAP_00000433,train
BDMAP_00000434,train
BDMAP_00000436,train
BDMAP_00000438,train
BDMAP_00000439,train
BDMAP_00000440,train
BDMAP_00000441,train
BDMAP_00000443,train
BDMAP_00000444,train
BDMAP_00000446,train
BDMAP_00000447,train
BDMAP_00000448,train
BDMAP_00000449,train
BDMAP_00000451,train
BDMAP_00000453,train
BDMAP_00000456,train
BDMAP_00000457,train
BDMAP_00000458,train
BDMAP_00000459,train
BDMAP_00000460,train
BDMAP_00000461,train
BDMAP_00000462,train
BDMAP_00000463,train
BDMAP_00000464,train
BDMAP_00000465,train
BDMAP_00000466,train
BDMAP_00000467,train
BDMAP_00000468,train
BDMAP_00000469,train
BDMAP_00000470,train
BDMAP_00000471,train
BDMAP_00000472,train
BDMAP_00000474,train
BDMAP_00000475,train
BDMAP_00000477,train
BDMAP_00000478,train
BDMAP_00000479,train
BDMAP_00000480,train
BDMAP_00000481,train
BDMAP_00000482,train
BDMAP_00000483,train
BDMAP_00000484,train
BDMAP_00000485,train
BDMAP_00000486,train
BDMAP_00000489,train
BDMAP_00000491,train
BDMAP_00000492,train
BDMAP_00000493,train
BDMAP_00000495,train
BDMAP_00000496,train
BDMAP_00000498,train
BDMAP_00000499,train
BDMAP_00000500,train
BDMAP_00000501,train
BDMAP_00000502,train
BDMAP_00000503,train
BDMAP_00000504,train
BDMAP_00000506,train
BDMAP_00000507,train
BDMAP_00000508,train
BDMAP_00000511,train
BDMAP_00000513,train
BDMAP_00000514,train
BDMAP_00000516,train
BDMAP_00000518,train
BDMAP_00000519,train
BDMAP_00000520,train
BDMAP_00000521,train
BDMAP_00000523,train
BDMAP_00000524,train
BDMAP_00000526,train
BDMAP_00000527,train
BDMAP_00000528,train
BDMAP_00000529,train
BDMAP_00000531,train
BDMAP_00000532,train
BDMAP_00000533,train
BDMAP_00000534,train
BDMAP_00000536,train
BDMAP_00000537,train
BDMAP_00000538,train
BDMAP_00000539,train
BDMAP_00000540,train
BDMAP_00000541,train
BDMAP_00000542,train
BDMAP_00000543,train
BDMAP_00000544,train
BDMAP_00000545,train
BDMAP_00000546,train
BDMAP_00000547,train
BDMAP_00000548,train
BDMAP_00000549,train
BDMAP_00000550,train
BDMAP_00000551,train
BDMAP_00000552,train
BDMAP_00000553,train
BDMAP_00000554,train
BDMAP_00000555,train
BDMAP_00000556,train
BDMAP_00000557,train
BDMAP_00000558,train
BDMAP_00000559,train
BDMAP_00000562,train
BDMAP_00000563,train
BDMAP_00000565,train
BDMAP_00000566,train
BDMAP_00000567,train
BDMAP_00000568,train
BDMAP_00000570,train
BDMAP_00000571,train
BDMAP_00000573,train
BDMAP_00000575,train
BDMAP_00000576,train
BDMAP_00000577,train
BDMAP_00000578,train
BDMAP_00000579,train
BDMAP_00000580,train
BDMAP_00000581,train
BDMAP_00000582,train
BDMAP_00000583,train
BDMAP_00000584,train
BDMAP_00000585,train
BDMAP_00000586,train
BDMAP_00000587,train
BDMAP_00000588,train
BDMAP_00000591,train
BDMAP_00000592,train
BDMAP_00000593,train
BDMAP_00000594,train
BDMAP_00000595,train
BDMAP_00000596,train
BDMAP_00000597,train
BDMAP_00000598,train
BDMAP_00000599,train
BDMAP_00000601,train
BDMAP_00000602,train
BDMAP_00000603,train
BDMAP_00000604,train
BDMAP_00000605,train
BDMAP_00000607,train
BDMAP_00000608,train
BDMAP_00000609,train
BDMAP_00000610,train
BDMAP_00000611,train
BDMAP_00000612,train
BDMAP_00000613,train
BDMAP_00000614,train
BDMAP_00000615,train
BDMAP_00000616,train
BDMAP_00000617,train
BDMAP_00000619,train
BDMAP_00000620,train
BDMAP_00000621,train
BDMAP_00000622,train
BDMAP_00000624,train
BDMAP_00000625,train
BDMAP_00000626,train
BDMAP_00000630,train
BDMAP_00000631,train
BDMAP_00000632,train
BDMAP_00000633,train
BDMAP_00000634,train
BDMAP_00000635,train
BDMAP_00000636,train
BDMAP_00000637,train
BDMAP_00000638,train
BDMAP_00000639,train
BDMAP_00000640,train
BDMAP_00000642,train
BDMAP_00000643,train
BDMAP_00000645,train
BDMAP_00000646,train
BDMAP_00000648,train
BDMAP_00000649,train
BDMAP_00000651,train
BDMAP_00000652,train
BDMAP_00000653,train
BDMAP_00000654,train
BDMAP_00000655,train
BDMAP_00000656,train
BDMAP_00000657,train
BDMAP_00000658,train
BDMAP_00000660,train
BDMAP_00000661,train
BDMAP_00000662,train
BDMAP_00000663,train
BDMAP_00000664,train
BDMAP_00000665,train
BDMAP_00000666,train
BDMAP_00000667,train
BDMAP_00000669,train
BDMAP_00000670,train
BDMAP_00000671,train
BDMAP_00000673,train
BDMAP_00000674,train
BDMAP_00000675,train
BDMAP_00000676,train
BDMAP_00000677,train
BDMAP_00000678,train
BDMAP_00000680,train
BDMAP_00000681,train
BDMAP_00000682,train
BDMAP_00000683,train
BDMAP_00000684,train
BDMAP_00000685,train
BDMAP_00000686,train
BDMAP_00000687,train
BDMAP_00000688,train
BDMAP_00000689,train
BDMAP_00000690,train
BDMAP_00000691,train
BDMAP_00000693,train
BDMAP_00000694,train
BDMAP_00000695,train
BDMAP_00000696,train
BDMAP_00000697,train
BDMAP_00000699,train
BDMAP_00000700,train
BDMAP_00000701,train
BDMAP_00000703,train
BDMAP_00000704,train
BDMAP_00000705,train
BDMAP_00000707,train
BDMAP_00000708,train
BDMAP_00000709,train
BDMAP_00000710,train
BDMAP_00000711,train
BDMAP_00000712,train
BDMAP_00000713,train
BDMAP_00000715,train
BDMAP_00000719,train
BDMAP_00000722,train
BDMAP_00000723,train
BDMAP_00000724,train
BDMAP_00000727,train
BDMAP_00000728,train
BDMAP_00000729,train
BDMAP_00000730,train
BDMAP_00000731,train
BDMAP_00000732,train
BDMAP_00000733,train
BDMAP_00000734,train
BDMAP_00000735,train
BDMAP_00000736,train
BDMAP_00000737,train
BDMAP_00000738,train
BDMAP_00000739,train
BDMAP_00000741,train
BDMAP_00000742,train
BDMAP_00000743,train
BDMAP_00000744,train
BDMAP_00000745,train
BDMAP_00000746,train
BDMAP_00000747,train
BDMAP_00000748,train
BDMAP_00000750,train
BDMAP_00000752,train
BDMAP_00000753,train
BDMAP_00000754,train
BDMAP_00000755,train
BDMAP_00000756,train
BDMAP_00000758,train
BDMAP_00000759,train
BDMAP_00000760,train
BDMAP_00000761,train
BDMAP_00000762,train
BDMAP_00000765,train
BDMAP_00000766,train
BDMAP_00000767,train
BDMAP_00000769,train
BDMAP_00000770,train
BDMAP_00000771,train
BDMAP_00000772,train
BDMAP_00000773,train
BDMAP_00000774,train
BDMAP_00000775,train
BDMAP_00000776,train
BDMAP_00000777,train
BDMAP_00000778,train
BDMAP_00000779,train
BDMAP_00000780,train
BDMAP_00000781,train
BDMAP_00000782,train
BDMAP_00000783,train
BDMAP_00000784,train
BDMAP_00000786,train
BDMAP_00000787,train
BDMAP_00000789,train
BDMAP_00000790,train
BDMAP_00000791,train
BDMAP_00000792,train
BDMAP_00000793,train
BDMAP_00000795,train
BDMAP_00000796,train
BDMAP_00000797,train
BDMAP_00000798,train
BDMAP_00000799,train
BDMAP_00000800,train
BDMAP_00000801,train
BDMAP_00000802,train
BDMAP_00000803,train
BDMAP_00000804,train
BDMAP_00000806,train
BDMAP_00000807,train
BDMAP_00000808,train
BDMAP_00000809,train
BDMAP_00000810,train
BDMAP_00000812,train
BDMAP_00000813,train
BDMAP_00000814,train
BDMAP_00000815,train
BDMAP_00000816,train
BDMAP_00000817,train
BDMAP_00000818,train
BDMAP_00000820,train
BDMAP_00000823,train
BDMAP_00000826,train
BDMAP_00000827,train
BDMAP_00000829,train
BDMAP_00000830,train
BDMAP_00000831,train
BDMAP_00000832,train
BDMAP_00000833,train
BDMAP_00000835,train
BDMAP_00000837,train
BDMAP_00000839,train
BDMAP_00000841,train
BDMAP_00000842,train
BDMAP_00000844,train
BDMAP_00000845,train
BDMAP_00000846,train
BDMAP_00000847,train
BDMAP_00000848,train
BDMAP_00000852,train
BDMAP_00000855,train
BDMAP_00000856,train
BDMAP_00000857,train
BDMAP_00000858,train
BDMAP_00000859,train
BDMAP_00000860,train
BDMAP_00000861,train
BDMAP_00000862,train
BDMAP_00000863,train
BDMAP_00000864,train
BDMAP_00000865,train
BDMAP_00000866,train
BDMAP_00000867,train
BDMAP_00000869,train
BDMAP_00000870,train
BDMAP_00000871,train
BDMAP_00000873,train
BDMAP_00000874,train
BDMAP_00000877,train
BDMAP_00000879,train
BDMAP_00000880,train
BDMAP_00000881,train
BDMAP_00000882,train
BDMAP_00000883,train
BDMAP_00000884,train
BDMAP_00000886,train
BDMAP_00000887,train
BDMAP_00000888,train
BDMAP_00000889,train
BDMAP_00000890,train
BDMAP_00000891,train
BDMAP_00000893,train
BDMAP_00000895,train
BDMAP_00000897,train
BDMAP_00000898,train
BDMAP_00000899,train
BDMAP_00000900,train
BDMAP_00000901,train
BDMAP_00000902,train
BDMAP_00000904,train
BDMAP_00000905,train
BDMAP_00000906,train
BDMAP_00000907,train
BDMAP_00000908,train
BDMAP_00000909,train
BDMAP_00000910,train
BDMAP_00000911,train
BDMAP_00000912,train
BDMAP_00000914,train
BDMAP_00000915,train
BDMAP_00000916,train
BDMAP_00000917,train
BDMAP_00000918,train
BDMAP_00000920,train
BDMAP_00000922,train
BDMAP_00000923,train
BDMAP_00000924,train
BDMAP_00000925,train
BDMAP_00000926,train
BDMAP_00000927,train
BDMAP_00000928,train
BDMAP_00000929,train
BDMAP_00000930,train
BDMAP_00000931,train
BDMAP_00000932,train
BDMAP_00000933,train
BDMAP_00000935,train
BDMAP_00000936,train
BDMAP_00000937,train
BDMAP_00000938,train
BDMAP_00000939,train
BDMAP_00000940,train
BDMAP_00000941,train
BDMAP_00000942,train
BDMAP_00000943,train
BDMAP_00000945,train
BDMAP_00000946,train
BDMAP_00000948,train
BDMAP_00000957,train
BDMAP_00000958,train
BDMAP_00000959,train
BDMAP_00000960,train
BDMAP_00000962,train
BDMAP_00000963,train
BDMAP_00000964,train
BDMAP_00000965,train
BDMAP_00000966,train
BDMAP_00000967,train
BDMAP_00000968,train
BDMAP_00000970,train
BDMAP_00000971,train
BDMAP_00000972,train
BDMAP_00000973,train
BDMAP_00000974,train
BDMAP_00000975,train
BDMAP_00000976,train
BDMAP_00000977,train
BDMAP_00000978,train
BDMAP_00000979,train
BDMAP_00000980,train
BDMAP_00000982,train
BDMAP_00000983,train
BDMAP_00000984,train
BDMAP_00000985,train
BDMAP_00000987,train
BDMAP_00000988,train
BDMAP_00000989,train
BDMAP_00000990,train
BDMAP_00000991,train
BDMAP_00000993,train
BDMAP_00000995,train
BDMAP_00000996,train
BDMAP_00000997,train
BDMAP_00000998,train
BDMAP_00001000,train
BDMAP_00001001,train
BDMAP_00001002,train
BDMAP_00001003,train
BDMAP_00001005,train
BDMAP_00001006,train
BDMAP_00001008,train
BDMAP_00001011,train
BDMAP_00001012,train
BDMAP_00001013,train
BDMAP_00001014,train
BDMAP_00001015,train
BDMAP_00001016,train
BDMAP_00001017,train
BDMAP_00001018,train
BDMAP_00001019,train
BDMAP_00001020,train
BDMAP_00001021,train
BDMAP_00001022,train
BDMAP_00001026,train
BDMAP_00001027,train
BDMAP_00001029,train
BDMAP_00001031,train
BDMAP_00001032,train
BDMAP_00001034,train
BDMAP_00001035,train
BDMAP_00001036,train
BDMAP_00001037,train
BDMAP_00001038,train
BDMAP_00001039,train
BDMAP_00001040,train
BDMAP_00001043,train
BDMAP_00001044,train
BDMAP_00001045,train
BDMAP_00001047,train
BDMAP_00001048,train
BDMAP_00001049,train
BDMAP_00001050,train
BDMAP_00001051,train
BDMAP_00001052,train
BDMAP_00001054,train
BDMAP_00001056,train
BDMAP_00001057,train
BDMAP_00001058,train
BDMAP_00001059,train
BDMAP_00001061,train
BDMAP_00001062,train
BDMAP_00001063,train
BDMAP_00001064,train
BDMAP_00001065,train
BDMAP_00001066,train
BDMAP_00001068,train
BDMAP_00001070,train
BDMAP_00001072,train
BDMAP_00001073,train
BDMAP_00001074,train
BDMAP_00001075,train
BDMAP_00001076,train
BDMAP_00001077,train
BDMAP_00001078,train
BDMAP_00001079,train
BDMAP_00001080,train
BDMAP_00001081,train
BDMAP_00001083,train
BDMAP_00001084,train
BDMAP_00001086,train
BDMAP_00001087,train
BDMAP_00001088,train
BDMAP_00001090,train
BDMAP_00001091,train
BDMAP_00001092,train
BDMAP_00001093,train
BDMAP_00001094,train
BDMAP_00001095,train
BDMAP_00001096,train
BDMAP_00001097,train
BDMAP_00001098,train
BDMAP_00001099,train
BDMAP_00001100,train
BDMAP_00001101,train
BDMAP_00001102,train
BDMAP_00001103,train
BDMAP_00001104,train
BDMAP_00001105,train
BDMAP_00001106,train
BDMAP_00001107,train
BDMAP_00001108,train
BDMAP_00001109,train
BDMAP_00001110,train
BDMAP_00001111,train
BDMAP_00001112,train
BDMAP_00001113,train
BDMAP_00001114,train
BDMAP_00001115,train
BDMAP_00001117,train
BDMAP_00001118,train
BDMAP_00001119,train
BDMAP_00001120,train
BDMAP_00001121,train
BDMAP_00001122,train
BDMAP_00001123,train
BDMAP_00001124,train
BDMAP_00001126,train
BDMAP_00001128,train
BDMAP_00001129,train
BDMAP_00001130,train
BDMAP_00001132,train
BDMAP_00001133,train
BDMAP_00001134,train
BDMAP_00001135,train
BDMAP_00001136,train
BDMAP_00001137,train
BDMAP_00001138,train
BDMAP_00001139,train
BDMAP_00001141,train
BDMAP_00001142,train
BDMAP_00001143,train
BDMAP_00001145,train
BDMAP_00001147,train
BDMAP_00001150,train
BDMAP_00001151,train
BDMAP_00001153,train
BDMAP_00001154,train
BDMAP_00001157,train
BDMAP_00001158,train
BDMAP_00001160,train
BDMAP_00001161,train
BDMAP_00001162,train
BDMAP_00001164,train
BDMAP_00001168,train
BDMAP_00001169,train
BDMAP_00001170,train
BDMAP_00001171,train
BDMAP_00001172,train
BDMAP_00001176,train
BDMAP_00001177,train
BDMAP_00001178,train
BDMAP_00001179,train
BDMAP_00001180,train
BDMAP_00001181,train
BDMAP_00001182,train
BDMAP_00001183,train
BDMAP_00001184,train
BDMAP_00001188,train
BDMAP_00001190,train
BDMAP_00001191,train
BDMAP_00001192,train
BDMAP_00001193,train
BDMAP_00001196,train
BDMAP_00001197,train
BDMAP_00001198,train
BDMAP_00001199,train
BDMAP_00001200,train
BDMAP_00001201,train
BDMAP_00001202,train
BDMAP_00001203,train
BDMAP_00001204,train
BDMAP_00001205,train
BDMAP_00001206,train
BDMAP_00001207,train
BDMAP_00001208,train
BDMAP_00001210,train
BDMAP_00001211,train
BDMAP_00001213,train
BDMAP_00001214,train
BDMAP_00001215,train
BDMAP_00001216,train
BDMAP_00001217,train
BDMAP_00001220,train
BDMAP_00001222,train
BDMAP_00001224,train
BDMAP_00001225,train
BDMAP_00001226,train
BDMAP_00001228,train
BDMAP_00001229,train
BDMAP_00001230,train
BDMAP_00001232,train
BDMAP_00001233,train
BDMAP_00001234,train
BDMAP_00001235,train
BDMAP_00001236,train
BDMAP_00001237,train
BDMAP_00001238,train
BDMAP_00001239,train
BDMAP_00001240,train
BDMAP_00001241,train
BDMAP_00001242,train
BDMAP_00001243,train
BDMAP_00001244,train
BDMAP_00001245,train
BDMAP_00001248,train
BDMAP_00001249,train
BDMAP_00001250,train
BDMAP_00001251,train
BDMAP_00001252,train
BDMAP_00001253,train
BDMAP_00001254,train
BDMAP_00001255,train
BDMAP_00001256,train
BDMAP_00001257,train
BDMAP_00001258,train
BDMAP_00001262,train
BDMAP_00001263,train
BDMAP_00001264,train
BDMAP_00001265,train
BDMAP_00001266,train
BDMAP_00001267,train
BDMAP_00001269,train
BDMAP_00001270,train
BDMAP_00001271,train
BDMAP_00001272,train
BDMAP_00001273,train
BDMAP_00001274,train
BDMAP_00001276,train
BDMAP_00001277,train
BDMAP_00001278,train
BDMAP_00001279,train
BDMAP_00001280,train
BDMAP_00001281,train
BDMAP_00001282,train
BDMAP_00001283,train
BDMAP_00001284,train
BDMAP_00001285,train
BDMAP_00001286,train
BDMAP_00001287,train
BDMAP_00001288,train
BDMAP_00001289,train
BDMAP_00001290,train
BDMAP_00001291,train
BDMAP_00001292,train
BDMAP_00001293,train
BDMAP_00001295,train
BDMAP_00001296,train
BDMAP_00001297,train
BDMAP_00001298,train
BDMAP_00001299,train
BDMAP_00001300,train
BDMAP_00001301,train
BDMAP_00001302,train
BDMAP_00001305,train
BDMAP_00001307,train
BDMAP_00001308,train
BDMAP_00001310,train
BDMAP_00001311,train
BDMAP_00001313,train
BDMAP_00001315,train
BDMAP_00001316,train
BDMAP_00001317,train
BDMAP_00001318,train
BDMAP_00001320,train
BDMAP_00001321,train
BDMAP_00001322,train
BDMAP_00001323,train
BDMAP_00001324,train
BDMAP_00001325,train
BDMAP_00001326,train
BDMAP_00001327,train
BDMAP_00001329,train
BDMAP_00001330,train
BDMAP_00001333,train
BDMAP_00001334,train
BDMAP_00001335,train
BDMAP_00001336,train
BDMAP_00001339,train
BDMAP_00001340,train
BDMAP_00001343,train
BDMAP_00001344,train
BDMAP_00001345,train
BDMAP_00001346,train
BDMAP_00001349,train
BDMAP_00001350,train
BDMAP_00001351,train
BDMAP_00001352,train
BDMAP_00001354,train
BDMAP_00001355,train
BDMAP_00001356,train
BDMAP_00001357,train
BDMAP_00001358,train
BDMAP_00001360,train
BDMAP_00001362,train
BDMAP_00001363,train
BDMAP_00001364,train
BDMAP_00001365,train
BDMAP_00001366,train
BDMAP_00001368,train
BDMAP_00001369,train
BDMAP_00001370,train
BDMAP_00001371,train
BDMAP_00001372,train
BDMAP_00001373,train
BDMAP_00001374,train
BDMAP_00001375,train
BDMAP_00001377,train
BDMAP_00001378,train
BDMAP_00001379,train
BDMAP_00001380,train
BDMAP_00001383,train
BDMAP_00001384,train
BDMAP_00001385,train
BDMAP_00001386,train
BDMAP_00001388,train
BDMAP_00001393,train
BDMAP_00001394,train
BDMAP_00001395,train
BDMAP_00001397,train
BDMAP_00001399,train
BDMAP_00001400,train
BDMAP_00001401,train
BDMAP_00001402,train
BDMAP_00001403,train
BDMAP_00001404,train
BDMAP_00001405,train
BDMAP_00001406,train
BDMAP_00001407,train
BDMAP_00001408,train
BDMAP_00001409,train
BDMAP_00001410,train
BDMAP_00001411,train
BDMAP_00001412,train
BDMAP_00001413,train
BDMAP_00001414,train
BDMAP_00001415,train
BDMAP_00001416,train
BDMAP_00001417,train
BDMAP_00001418,train
BDMAP_00001420,train
BDMAP_00001421,train
BDMAP_00001423,train
BDMAP_00001424,train
BDMAP_00001425,train
BDMAP_00001426,train
BDMAP_00001428,train
BDMAP_00001429,train
BDMAP_00001430,train
BDMAP_00001431,train
BDMAP_00001433,train
BDMAP_00001434,train
BDMAP_00001436,train
BDMAP_00001437,train
BDMAP_00001439,train
BDMAP_00001440,train
BDMAP_00001441,train
BDMAP_00001442,train
BDMAP_00001444,train
BDMAP_00001445,train
BDMAP_00001446,train
BDMAP_00001447,train
BDMAP_00001448,train
BDMAP_00001449,train
BDMAP_00001450,train
BDMAP_00001451,train
BDMAP_00001452,train
BDMAP_00001454,train
